,movie,bechdel_pass
414,code8,0
415,coldpursuit,0
416,coloroutofspace,0
417,cometodaddy,0
418,cosmos,0
419,crawl,1
420,thecurseoflallorona,1
421,darkphoenix,1
422,thedeaddon'tdie,1
423,decedants3,1
424,deliciosafrutaseca,1
425,descendants3,1
426,doctorsleep,1
427,doraandthelostcityofgold,1
428,downtonabbey,1
429,effigy– poisonandthecity,1
430,elcaminoabreakingbadmovie,0
431,fahim,0
432,thefarewell,1
433,fast&furiouspresentshobbs&shaw,0
434,fightingwithmyfamily,1
435,thefinallevelescapingrancala,1
436,fivefeetapart,1
437,forsama,1
438,fordvferrari,0
439,frankie,1
440,frozen2,1
441,furie,1
442,geminiman,0
443,thegentlemen,1
444,gisaengchung,1
445,godzillakingofthemonsters,1
446,thegoldfinch,0
447,goodboys,1
448,goodkisser,1
449,thegoodliar,1
450,thegroundbeneathmyfeet,1
451,guavaisland,0
452,gullyboy,0
453,gunsakimbo,1
454,happydeathday2u,1
455,harriet,1
456,helen,0
457,hersmell,1
458,thehighwaymen,0
459,thehockeygirls,1
460,horriblehistoriesthemovie-rottenromans,1
461,howtotrainyourdragonthehiddenworld,0
462,howtotrainyourdragonthehiddenworld,1
463,thehustle,1
464,hustlers,1
465,iammother,1
466,ilostmybody,0
467,intheshadowofthemoon,0
468,inthetallgrass,0
469,ipman4thefinale,1
470,theirishman,0
471,ironskythecomingrace,1
472,isn'titromantic,1
473,itchapter2,1
474,jawline,0
475,jeanne,1
476,johnwickchapter3-parabellum,0
477,jojorabbit,1
478,joker,1
479,judy,1
480,jumanjithenextlevel,0
481,justmercy,0
482,k-12,1
483,katharinehepburn,1
484,thekidwhowouldbeking,0
485,kimji-youngborn198,1
486,kimpossible,1
487,theking,0
488,thekitchen,1
489,klaus,0
490,theknightbeforechristmas,1
491,knivesout,1
492,lapeordemisbodas2,1
493,lastchristmas,1
494,thelastfullmeasure,0
495,latenight,1
496,thelaundromat,1
497,lechantduloup,0
498,thelegendofhei(luoxiaoheizhanji),0
499,thelegomovie2thesecondpart,1
500,lesmiserables,0
501,lesparfums,1
502,letitsnow,0
503,thelighthouse,0
504,thelionking,1
505,littlejoe,1
506,littlewomen,1
507,longshot,1
508,lovelive!sunshine!!theschoolidolmovieovertherainbow,1
509,luce,1
510,luckygrandma,1
511,lucyinthesky,1
512,lunanaayakintheclassroom,0
513,ma,1
514,maleficentmistressofevil,1
515,maria,1
516,marighella,1
517,marriagestory,0
518,meninblackinternational,1
519,mercyblack,1
520,midsommar,1
521,midway,0
522,missbala,1
523,missinglink,0
524,monos,1
525,motherlessbrooklyn,1
526,murdermystery,0
527,myheroacademiaheroesrising,1
528,mylittleponyequestriagirlsspringbreakdown,1
529,nancydrewandthehiddenstaircase,1
530,ofilmedobrunoaleixo,0
531,onceuponatime...inhollywood,1
532,oncewerebrothersrobbierobertsonandtheband,0
533,otherhood,1
534,paddleton,0
535,papicha,1
536,pause,0
537,thepeanutbutterfalcon,0
538,pentagram,0
539,theperfectdate,0
540,performaniax,1
541,thepersonalhistoryofdavidcopperfield,1
542,petsematary,1
543,theplatform,0
544,pokemondetectivepikachu,1
545,pokemonmewtwostrikesback-evolution,1
546,polar,0
547,portraitofaladyonfire,1
548,promare,1
549,quebramar,1
550,queen&slim,0
551,rambolastblood,0
552,readyornot,1
553,reignofthesupermen,0
554,thereport,0
555,richardjewell,1
556,rimoftheworld,0
557,robowoman,1
558,rocketman,1
559,saandkiaankh,1
560,sagaoftanyatheevil-themovie,1
561,saintfrances,1
562,saintmaud,1
563,satanicpanic,1
564,scarystoriestotellinthedark,1
565,seberg,1
566,secretobsession,0
567,seeyouyesterday,1
568,serenity,0
569,shazam!,1
570,theshinyshrimps,0
571,thesilence,1
572,sisteraimee,1
573,someonegreat,1
574,soni,1
575,sorrywemissedyou,1
576,soundofmetal,0
577,thesouvenir,1
578,thespecials,0
579,spider-manfarfromhome,0
580,spiesindisguise,1
581,starwarsepisodeix-theriseofskywalker,1
582,stevenuniversethemovie,1
583,straightup,1
584,stray,1
585,swordoftrust,1
586,tallgirl,1
587,tekst,0
588,terminatordarkfate,1
589,tolkien,0
590,topendwedding,1
591,toystory4,1
592,triplefrontier,0
593,troopzero,1
594,turmadamonicalacos,0
595,thetwopopes,0
596,unbelievable,1
597,uncutgems,0
598,underthesilverlake,0
599,unefillefacile,1
600,unepairedejumelles,1
601,unplanned,1
602,us,1
603,thevastofnight,1
604,vivarium,1
605,thewanderingearth(liulangdiqiu),1
606,wearelittlezombies,0
607,weatheringwithyou,1
608,whatmenwant,0
609,where'dyougobernadette,1
610,whitesnake,1
611,winecountry,1
612,wonderpark,1
613,yesgodyes,1
614,yesterday,0
615,zombielanddoubletap,1
616,zoombies2,1
617,6balloons,1
618,aprivatewar,0
619,aquietplace,1
620,asimplefavor,1
621,astarisborn,1
622,awrinkleintime,1
623,agapornis,1
624,alexstrangelove,0
625,alpha,0
626,amatorer,1
627,americananimals,0
628,anelephantsittingstill(daxiangxidierzuo),0
629,andhadhun,0
630,andidedlilega(andbreathenormally),1
631,annihilation,1
632,anon,0
633,ant-manandthewasp,1
634,apostle,1
635,aquaman,1
636,askforjane,1
637,assassinationnation,1
638,astérixlesecretdelapotionmagique(asterixthesecretofthemagicpotion),0
639,auposte!,0
640,avengersinfinitywar,1
641,badtimesattheelroyale,0
642,theballadofbusterscruggs,0
643,bananasplit,1
644,bearkittens,1
645,bellaciao!,1
646,benisback,1
647,bethanyhamiltonunstoppable,0
648,birdbox,1
649,black47,0
650,blackpanther,1
651,blackkklansman,1
652,blindspotting,0
653,blockers,1
654,theboat,0
655,bohemianrhapsody,0
656,bookclub,1
657,boyerased,0
658,braven,1
659,thebreakerupperers,1
660,bullittcounty,1
661,bumblebee,1
662,burning,0
663,thecakegeneral,1
664,cam,1
665,canyoueverforgiveme?,1
666,capernaum,1
667,carmenylola,1
668,thechaperone,1
669,christopherrobin,0
670,climax,1
671,thecloverfieldparadox,1
672,coldwar,1
673,colette,1
674,constantinecityofdemons,0
675,crazyrichasians,1
676,creedii,1
677,daphne&velma,1
678,thedarkestminds,1
679,deadinaweekoryourmoneyback,0
680,deadpool2,0
681,thedeathandlifeofjohnf.donovan,0
682,thedeathofsuperman,1
683,deathtoilet,0
684,deepbluesea2,0
685,deepmurder,1
686,delirium,0
687,denofthieves,0
688,deslembro,1
689,destinationwedding,0
690,destroyer,1
691,diamantino,1
692,dogdays,1
693,don'tleavehome,1
694,dude,1
695,dumplin',1
696,earlyman,0
697,egg,1
698,eighthgrade,1
699,enguerre,0
700,enliberte!,0
701,fantasticbeaststhecrimesofgrindelwald,0
702,thefavourite,1
703,fiftyshadefreed,0
704,firstman,1
705,firstmatch,1
706,thefirstpurge,1
707,floatlikeabutterfly,1
708,fortnitebattlebuildsurvive!,1
709,freesolo,0
710,thefrontrunner,0
711,furlough,1
712,gamenight,1
713,gekijo-bannonnonbiyorivacation,1
714,genese,0
715,thegirlinthespider'sweb,1
716,greenbook,0
717,greta,1
718,thegrinch,1
719,theguernseyliteraryandpotatopeelpiesociety,1
720,halloween,1
721,thehappytimemurders,1
722,thehateugive,1
723,heartsbeatloud,1
724,theheiresses,1
725,hereditary,1
726,hjartat,1
727,holdthedark,0
728,thehonorlist,1
729,thehousethatjackbuilt,0
730,thehousewithaclockinitswalls,0
731,iamnotaneasyman/jenesuispasunhommefacile,1
732,ifeelpretty,1
733,ilikeme,1
734,iwanttoeatyourpancreas,1
735,ifbealestreetcouldtalk,1
736,infabric,1
737,insafehands,0
738,incredibles2,1
739,innanvinternkommer,0
740,instantfamily,1
741,isleofdogs,1
742,it'sabeautifulday,0
743,janefondainfiveacts,1
744,jefe,0
745,johnnyenglishstrikesagain,0
746,jonathan,0
747,jurassicworldfallenkingdom,1
748,k.g.fchapter1,0
749,kaala,1
750,thekissingbooth,1
751,l'animale,1
752,lacamarista,1
753,lachutedel'empireamericain,0
754,latribu,1
755,thelastsharknadoit'sabouttime,1
756,lemondeestatoi,0
757,leavenotrace,1
758,lesinvisibles,1
759,level16,1
760,lifeitself,1
761,lifeoftheparty,1
762,lizzie,0
763,lordsofchaos,0
764,lovepersquarefoot,1
765,lovesimon,0
766,lukecage,0
767,mammamia!herewegoagain,1
